Category,Issue,Complaint
Water,No water supply,I want to report an issue regarding no water supply. It has been a problem for a few days.
Street Lights,Street light timer not set properly,I want to report an issue regarding street light timer not set properly. It has been a problem for a few days.
Street Lights,Flickering street lights,I want to report an issue regarding flickering street lights. It has been a problem for a few days.
Power,Frequent power cuts,I want to report an issue regarding frequent power cuts. It has been a problem for a few days.
Street Lights,Street lights too dim,I want to report an issue regarding street lights too dim. It has been a problem for a few days.
Road,Potholes on the road,I want to report an issue regarding potholes on the road. It has been a problem for a few days.
Power,Transformer sparking,I want to report an issue regarding transformer sparking. It has been a problem for a few days.
Power,Unauthorized power tapping,I want to report an issue regarding unauthorized power tapping. It has been a problem for a few days.
Power,Power line hanging dangerously,I want to report an issue regarding power line hanging dangerously. It has been a problem for a few days.
Garbage,Improper garbage disposal,I want to report an issue regarding improper garbage disposal. It has been a problem for a few days.
Water,Intermittent water supply,I want to report an issue regarding intermittent water supply. It has been a problem for a few days.
Power,Transformer sparking,I want to report an issue regarding transformer sparking. It has been a problem for a few days.
Water,Low water pressure,I want to report an issue regarding low water pressure. It has been a problem for a few days.
Street Lights,No street lights in my area,I want to report an issue regarding no street lights in my area. It has been a problem for a few days.
Garbage,Overflowing garbage bins,I want to report an issue regarding overflowing garbage bins. It has been a problem for a few days.
Garbage,Improper garbage disposal,I want to report an issue regarding improper garbage disposal. It has been a problem for a few days.
Street Lights,Street lights causing glare,I want to report an issue regarding street lights causing glare. It has been a problem for a few days.
Road,Potholes on the road,I want to report an issue regarding potholes on the road. It has been a problem for a few days.
Water,Sewage water mixing with drinking water,I want to report an issue regarding sewage water mixing with drinking water. It has been a problem for a few days.
Street Lights,Street light timer not set properly,I want to report an issue regarding street light timer not set properly. It has been a problem for a few days.
Garbage,Garbage collection truck not coming,I want to report an issue regarding garbage collection truck not coming. It has been a problem for a few days.
Power,Transformer sparking,I want to report an issue regarding transformer sparking. It has been a problem for a few days.
Road,Illegal parking on main road,I want to report an issue regarding illegal parking on main road. It has been a problem for a few days.
Garbage,Improper garbage disposal,I want to report an issue regarding improper garbage disposal. It has been a problem for a few days.
Garbage,Garbage not collected,I want to report an issue regarding garbage not collected. It has been a problem for a few days.
Water,Water leakage in the street,I want to report an issue regarding water leakage in the street. It has been a problem for a few days.
Road,Illegal parking on main road,I want to report an issue regarding illegal parking on main road. It has been a problem for a few days.
Road,Potholes on the road,I want to report an issue regarding potholes on the road. It has been a problem for a few days.
Water,Broken water pipe causing wastage,I want to report an issue regarding broken water pipe causing wastage. It has been a problem for a few days.
Street Lights,No street lights in my area,I want to report an issue regarding no street lights in my area. It has been a problem for a few days.
Garbage,No garbage bin in locality,I want to report an issue regarding no garbage bin in locality. It has been a problem for a few days.
Water,Dirty water from taps,I want to report an issue regarding dirty water from taps. It has been a problem for a few days.
Street Lights,Street lights not working,I want to report an issue regarding street lights not working. It has been a problem for a few days.
Water,Low water pressure,I want to report an issue regarding low water pressure. It has been a problem for a few days.
Water,Low water pressure,I want to report an issue regarding low water pressure. It has been a problem for a few days.
Garbage,Garbage burning causing smoke,I want to report an issue regarding garbage burning causing smoke. It has been a problem for a few days.
Road,Road blocked due to construction,I want to report an issue regarding road blocked due to construction. It has been a problem for a few days.
Street Lights,Damaged street light pole,I want to report an issue regarding damaged street light pole. It has been a problem for a few days.
Road,Speed breakers causing accidents,I want to report an issue regarding speed breakers causing accidents. It has been a problem for a few days.
Road,Illegal parking on main road,I want to report an issue regarding illegal parking on main road. It has been a problem for a few days.
Garbage,Smelly garbage in the area,I want to report an issue regarding smelly garbage in the area. It has been a problem for a few days.
Street Lights,Street light timer not set properly,I want to report an issue regarding street light timer not set properly. It has been a problem for a few days.
Road,Illegal parking on main road,I want to report an issue regarding illegal parking on main road. It has been a problem for a few days.
Street Lights,No street lights in my area,I want to report an issue regarding no street lights in my area. It has been a problem for a few days.
Water,Intermittent water supply,I want to report an issue regarding intermittent water supply. It has been a problem for a few days.
Water,Intermittent water supply,I want to report an issue regarding intermittent water supply. It has been a problem for a few days.
Power,Power line hanging dangerously,I want to report an issue regarding power line hanging dangerously. It has been a problem for a few days.
Power,Voltage fluctuations,I want to report an issue regarding voltage fluctuations. It has been a problem for a few days.
Road,Road blocked due to construction,I want to report an issue regarding road blocked due to construction. It has been a problem for a few days.
Road,Speed breakers causing accidents,I want to report an issue regarding speed breakers causing accidents. It has been a problem for a few days.
Street Lights,Damaged street light pole,I want to report an issue regarding damaged street light pole. It has been a problem for a few days.
Street Lights,Street lights not working,I want to report an issue regarding street lights not working. It has been a problem for a few days.
Power,Power line hanging dangerously,I want to report an issue regarding power line hanging dangerously. It has been a problem for a few days.
Road,No proper road signs,I want to report an issue regarding no proper road signs. It has been a problem for a few days.
Garbage,Improper garbage disposal,I want to report an issue regarding improper garbage disposal. It has been a problem for a few days.
Garbage,People throwing garbage on streets,I want to report an issue regarding people throwing garbage on streets. It has been a problem for a few days.
Power,Transformer sparking,I want to report an issue regarding transformer sparking. It has been a problem for a few days.
